t,X1,X2,X3,X4,X5,X6,CPIinf
161,0.020614869,0.005841095,-0.015411133,0.01517503,0.064974704,0.108124708,0.001505513
162,-0.031321357,-0.017345972,-0.011335607,-0.014899282,-0.205614373,0.16875491,-0.004951711
163,0.01664642,0.022520306,0.021239367,0.015418999,0.109879925,0.158054183,0.00588178
164,0.014159456,-0.009050368,-0.001742936,0.009169461,0.177955084,0.106511002,-0.001418314
165,0.028287346,0.007734947,-0.006678703,0.01630485,0.246780712,0.239651799,0.002151837
166,-0.041370132,-0.001845446,0.002493452,-0.009607011,-0.102283801,-0.038401531,0.002375513
167,-0.141211026,-0.097516586,-0.025359312,-0.138133946,-0.475128224,-0.749717677,-0.038469058
168,0.069756293,0.044433094,-0.021099043,0.040640225,-0.260096839,-0.407323337,0.016265607
169,0.059482658,0.034900204,0.027358058,0.05250247,-0.290689207,0.420667326,0.012205788
170,0.004116717,0.004755164,-0.008974033,0.022972919,0.015933444,0.11131692,0.003263805
171,0.002617556,0.009649805,0.029477995,0.001161938,0.221191939,0.121225574,-0.000768287
172,0.011492815,-0.004434211,0.00693753,0.003855264,0.244665496,0.052621908,-0.006215064
173,-0.016958717,-0.018491267,-0.026154967,-0.013059857,-0.265912879,-0.004193439,-0.00193669
174,-0.009660979,0.003901636,-0.010641918,-0.011181993,0.044891914,-0.029410815,0.00328009
175,0.01590146,0.020910523,0.028001851,0.025760282,-0.134186031,0.114075967,0.005137607
176,0.023092095,0.005426467,0.021125971,0.013155006,0.089800702,0.092943455,0.002550995
177,-0.002118364,-0.00628506,-0.035067741,-0.004899626,0.026374043,0.117291314,0.000689902
178,-0.038389819,-0.019907422,0.009420855,-0.028864374,-0.025452369,-0.100648875,-0.004805897
179,-0.015813145,-1.93E-05,-0.005937539,-0.013883916,-0.171491808,0.060634244,-0.0020211
180,0.022108033,0.001753093,-0.004107782,0.0142354,-0.253150607,0.040882305,0.00113738
181,-0.008764564,-0.013080022,-0.002540464,-0.011107004,-0.220781963,-0.098201834,-0.003507275
182,0.004784326,0.015979783,0.006877643,0.002303895,0.226340736,-0.016632792,0.00239575
183,-0.003627643,0.000397019,0.003575579,0.010816915,0.16307514,-0.034508495,0.002122828
184,0.007228975,-0.003245853,-0.00160888,-0.001532381,0.004310065,0.045167399,-0.002615879
185,-0.004770701,-0.013964352,-0.01659455,-0.015556397,0.170605552,0.013110096,-0.005106799
186,-0.000819389,0.011436594,0.009523323,0.010436355,-0.116647268,0.090353473,0.006489169
187,-0.012144363,0.002357371,0.003583617,-0.000166874,0.018020208,-0.115710863,-0.001702867
188,0.0288378,0.010109748,0.007859061,0.012720638,0.299000414,0.010731612,0.002517415
189,-0.004620386,-0.009161082,0.010032522,-0.01206856,-0.090368474,0.043770956,-0.000911814
190,-0.018189731,-0.009125543,-0.017724131,-0.002790076,-0.139473172,-0.078323513,-0.002741522
191,-0.027744415,-0.014672126,0.001343782,-0.020790246,-0.035105884,-0.288504814,-0.005042602
192,-0.012538815,-0.020315051,-0.026135642,-0.019620373,-0.307295911,-0.474817711,-0.004006181
193,0.053220868,0.043490365,0.006375364,0.03835221,-0.14568495,0.220156009,0.013290047
194,-0.015080092,-0.00715251,0.011542385,-0.002844639,0.044464006,-0.231335672,-0.003026444
195,-0.024890201,-0.017361389,-0.008624874,-0.015864797,-0.192096147,-0.144380827,-0.003845573
196,0.012761565,0.003023543,0.007822338,-0.001820548,-0.112041138,-0.328519841,-0.000545527
197,0.037737037,0.023499999,-0.014240209,0.034554299,-0.067458067,0.394253387,0.008587229
198,-0.009200126,-0.001224904,0.011778295,0.000261278,0.374619993,-0.000291836,-0.00373026
199,-0.009129212,0.004041221,-0.003297582,-0.002631102,0.056141663,0.100949408,0.002092276
200,0.022203551,0.007760049,0.019805095,0.012928485,0.103343859,0.045548971,0.000684719
201,-0.012491716,-0.021013356,0.000788296,-0.014726817,-0.090388169,-0.054648322,-0.005859792
202,-0.005062665,0.007370854,-0.018203729,-0.001084276,-0.066373184,-0.008877822,0.003616079
203,0.003903911,0.016050738,0.00770408,0.012942417,-0.024199918,0.168587166,0.003154649
204,0.00733083,-0.010759386,-0.00289105,0.000361152,-0.005524437,0.117153223,0.000197316
205,0.002718519,-0.006715841,-0.009003366,-0.002481135,-0.110734892,0.079594359,-0.002413458
206,-0.012695933,0.001825463,0.00350597,-0.005982459,0.045843631,0.025201031,-0.001371605
207,-0.011484267,-0.00369628,0.026210845,-0.010405515,0.235787575,-0.17095111,-0.000689672
208,-0.009003931,-0.014766178,-0.016283427,-0.014928556,-0.206849446,-0.102572149,-0.001263981
209,0.022893085,0.027538659,-0.007919686,0.015251839,-0.307188417,0.099662524,0.005444701
210,-0.017959163,-0.021041089,0.003007337,-0.012621232,-0.096434579,-0.057060739,-0.004143766
211,0.006802686,0.017125811,0.021166088,0.013633181,0.081161375,-0.025966612,0.002387872
212,-0.009805828,-0.023847818,-0.026301258,-0.011909748,-0.257297249,-0.193881106,-0.002846102
213,-0.02858881,-0.030737564,0.015522995,-0.03374882,-0.118793515,-0.638562887,-0.011766976
214,0.071727591,0.065216804,-0.031278254,0.075481622,0.158481105,0.401716678,0.020248475
215,-0.009266793,-0.006636277,0.03868341,-0.003435182,0.304216509,0.080613017,-0.0061664
216,0.036068001,0.026624404,-0.010092425,0.033430012,0.346200696,0.324911864,0.004550302
217,0.006168365,-0.01012256,0.025796893,0.015009582,-0.164062246,0.133015999,0.009582399
218,-0.020842531,0.003302619,-0.006148031,-0.028776796,0.347899387,0.067105638,-0.003422922
219,-0.008761001,0.002948154,0.005870991,-0.002347345,0.29737941,0.087486614,0.002787035
220,0.011108081,0.010325984,0.004167648,-0.001767379,-0.044413214,0.154115668,0.002968125
